RED (DN),NIR (DN),Green (DN),ndvi,RH (%),Temp (C),Nitrogen (ppm)
47.88,328.05,54.9,0.74,33.8,23.2,1057.54
51.99,329.97,56.5,0.72,33.8,23.2,962.57
52.37,325.9,56.14,0.72,33.8,23.2,933.92
55.81,200.32,43.11,0.56,33.8,23.2,458.29
59.3,209.11,45.47,0.55,33.8,23.2,454.84
56.36,208.75,44.72,0.57,33.8,23.2,451.55
74.64,223.63,52.27,0.5,33.8,23.2,980.61
78.95,229.52,54.5,0.49,33.8,23.2,950.9
79.21,230.47,55.09,0.49,33.8,23.2,922.78
85.53,226.03,55.86,0.44,33.8,23.2,683.98
98.47,238.19,61.73,0.41,33.8,23.2,669.23
102.15,247.7,64.07,0.41,33.8,23.2,655.23
44.84,287.68,49.64,0.73,33.8,23.2,1086.19
47.37,312.47,53.44,0.74,33.8,23.2,1069.74
48.64,323.58,55.13,0.74,33.8,23.2,1071.34
47.84,339.04,56.6,0.75,33.8,23.2,717.83
47.6,381.57,61.43,0.78,33.8,23.2,701.39
48.77,391.88,62.88,0.78,33.8,23.2,685.73
99.79,256.35,58.14,0.49,46.2,24.1,974.25
104.66,265.32,59.71,0.49,46.2,24.1,945.07
104.12,268.98,63.05,0.46,46.2,24.1,917.05
46.67,311.63,52.52,0.72,46.2,24.1,839.01
43.28,358.41,57.92,0.75,46.2,24.1,813.49
41.69,354.49,56.49,0.76,46.2,24.1,792.27
65.41,308.62,57.18,0.67,46.2,24.1,729.72
70.86,338.76,59.38,0.7,46.2,24.1,712.69
78.54,353.09,59.3,0.74,46.2,24.1,696.5
39.49,260.42,63.32,0.46,46.2,24.1,761.44
51.39,264.63,66.37,0.44,46.2,24.1,750.14
56.5,269.17,66.83,0.45,46.2,24.1,742.82
55.99,311.83,51.53,0.76,46.2,24.1,833.6
63.82,325.55,51.81,0.79,46.2,24.1,811.37
66.8,336.38,54.13,0.78,46.2,24.1,790.25
48.12,349.84,59.99,0.73,46.2,24.1,996
51.06,387.93,62.34,0.77,46.2,24.1,965.76
49.63,400.78,63.2,0.78,46.2,24.1,936.58
99.95,277.48,66.28,0.46,57.6,24.8,681.6
104.13,271.61,67.01,0.44,57.6,24.8,675.71
102.69,263.35,65.67,0.43,57.6,24.8,672.84
44.99,318.1,52.71,0.73,57.6,24.8,601.27
41.99,318.73,51.85,0.75,57.6,24.8,590.66
40.22,294.12,48.77,0.75,57.6,24.8,570.5
66.78,265.91,54.33,0.58,57.6,24.8,550.87
76.19,305.64,61.84,0.59,57.6,24.8,542.75
78.82,315.68,63.89,0.59,57.6,24.8,530.5
39.91,301.39,49.75,0.76,57.6,24.8,569.6
57.28,320.28,57.9,0.69,57.6,24.8,560.58
56.41,325.96,58.54,0.7,57.6,24.8,546.84
57.3,227.48,46.38,0.59,57.6,24.8,611.35
66.44,256.15,52.73,0.59,57.6,24.8,600.21
66.61,254.53,52.76,0.58,57.6,24.8,583.34
48.11,233.98,44.48,0.65,57.6,24.8,692.53
50.5,258.24,47.95,0.66,57.6,24.8,677.35
49.29,273.04,49.43,0.68,57.6,24.8,654.27
